TARIFF,EFF_DATE,CHANGE,SUB_CHAP,DESC1,DESC2,DESC3,FOOTNOTE,UOM,MFN,AUT,NZT,CCCT,LDCT,GPT,UST,MXT,CIAT,CT,CRT,IT,NT,SLT,PT,COLT,JT,PAT,HNT,KRT,CEUT,CPTPT,UKT,row_id,UAT,General Tariff
"0105.99.90","04/01/21 00:00:00",0,,"Other",,,,,"3 %",,,"Free","Free",,"Free",,,"Free","Free",,,,"Free","Free","Free","Free","Free",,"Free","Free","Free",26930,"Free","35%"
"0105.99.90.00","01/01/98 00:00:00",0,,"Other",,,,"KGM","3 %",,,"Free","Free",,"Free",,,"Free","Free",,,,"Free","Free","Free","Free","Free",,"Free","Free","Free",26931,"Free","35%"
"01.06","01/01/98 00:00:00",0,,"Other live animals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,26932,,
"0106.1","01/01/02 00:00:00",0,,"Mammals:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26933,,
"0106.11.00","04/01/21 00:00:00",0,,"Primates",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26934,"Free","35%"
"0106.11.00.00","01/01/02 00:00:00",0,,"Primates",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26935,"Free","35%"
"0106.12.00","04/01/21 00:00:00",0,,"Whales, dolphins and porpoises (mammals of the order Cetecea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26936,"Free","35%"
"0106.12.00.00","01/01/02 00:00:00",0,,"Whales, dolphins and porpoises (mammals of the order Cetecea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26937,"Free","35%"
"0106.13.00","04/01/21 00:00:00",0,,"Camels and other camelids (Camelidae)",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26938,"Free","35%"
"0106.13.00.00","01/01/12 00:00:00",0,,"Camels and other camelids (Camelidae)",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26939,"Free","35%"
